Order_item_id,Order_id,Menu_item,Quantity,Price
OI00001,ORD17912,Sandwich,5,334
OI00002,ORD47172,Burger,3,394
OI00003,ORD37653,Soup,2,379
OI00004,ORD62094,Burger,2,435
OI00005,ORD91528,Biryani,4,302
OI00006,ORD89977,Sushi,1,296
OI00007,ORD63097,Burger,4,150
OI00008,ORD77581,Cake,4,390
OI00009,ORD10054,Burger,3,89
OI00010,ORD13903,Salad,5,430
OI00011,ORD84261,Ice Cream,4,100
OI00012,ORD21663,Fries,4,164
OI00013,ORD22363,Tacos,5,187
OI00014,ORD36650,Salad,4,202
OI00015,ORD37046,Wrap,3,103
OI00016,ORD42827,Fries,4,288
OI00017,ORD08939,Wrap,1,344
OI00018,ORD72995,Burger,1,211
OI00019,ORD73521,Cake,1,205
OI00020,ORD44498,Wrap,3,119
OI00021,ORD59015,Pasta,3,209
OI00022,ORD40493,Pizza,5,300
OI00023,ORD89447,Soup,5,148
OI00024,ORD67508,Noodles,1,279
OI00025,ORD56106,Pizza,2,130
OI00026,ORD55294,Cake,2,355
OI00027,ORD28065,Tacos,1,371
OI00028,ORD73566,Biryani,3,272
OI00029,ORD77270,Cake,1,467
OI00030,ORD43415,Sushi,3,302
OI00031,ORD15438,Steak,3,87
OI00032,ORD64902,Sandwich,2,374
OI00033,ORD81051,Biryani,3,69
OI00034,ORD01491,Burger,5,128
OI00035,ORD83375,Salad,5,449
OI00036,ORD55630,Biryani,4,57
OI00037,ORD67362,Sushi,5,188
OI00038,ORD39683,Soup,4,490
OI00039,ORD36728,Pasta,1,275
OI00040,ORD09729,Ice Cream,5,110
OI00041,ORD55000,Cake,2,298
OI00042,ORD17819,Ice Cream,5,252
OI00043,ORD24849,Pizza,5,222
OI00044,ORD63522,Tacos,2,447
OI00045,ORD46337,Pasta,3,72
OI00046,ORD91640,Ice Cream,2,429
OI00047,ORD34007,Wrap,2,277
OI00048,ORD64776,Biryani,2,368
OI00049,ORD86035,Burger,3,459
OI00050,ORD48830,Pasta,4,337
OI00051,ORD21117,Biryani,3,106
OI00052,ORD69211,Biryani,5,424
OI00053,ORD91603,Sandwich,2,480
OI00054,ORD85439,Salad,1,207
OI00055,ORD07692,Sushi,5,52
OI00056,ORD31869,Salad,1,232
OI00057,ORD04037,Ice Cream,3,255
OI00058,ORD27804,Pasta,1,93
OI00059,ORD30046,Fries,2,439
OI00060,ORD36110,Soup,2,164
OI00061,ORD69023,Soup,2,480
OI00062,ORD62887,Sandwich,3,268
OI00063,ORD50966,Pasta,2,347
OI00064,ORD80631,Sushi,3,117
OI00065,ORD71347,Sushi,5,434
OI00066,ORD27655,Steak,2,491
OI00067,ORD87575,Noodles,1,469
OI00068,ORD09796,Salad,3,412
OI00069,ORD82977,Salad,5,182
OI00070,ORD06207,Sushi,4,164
OI00071,ORD32050,Ice Cream,5,160
OI00072,ORD32413,Tacos,1,148
OI00073,ORD25984,Fries,4,74
OI00074,ORD07462,Fries,2,389
OI00075,ORD46431,Pasta,5,178
OI00076,ORD58250,Ice Cream,1,267
OI00077,ORD62066,Pasta,2,276
OI00078,ORD52815,Pizza,2,219
OI00079,ORD58060,Wrap,1,400
OI00080,ORD71086,Sushi,3,419
OI00081,ORD83230,Wrap,2,447
OI00082,ORD72883,Noodles,4,331
OI00083,ORD79641,Pizza,2,73
OI00084,ORD70862,Sandwich,4,69
OI00085,ORD15957,Ice Cream,3,57
OI00086,ORD40492,Pizza,3,444
OI00087,ORD80896,Noodles,1,129
OI00088,ORD27569,Cake,5,87
OI00089,ORD88655,Sushi,5,114
OI00090,ORD45643,Steak,4,84
OI00091,ORD42688,Salad,5,154
OI00092,ORD39462,Soup,5,447
OI00093,ORD27203,Sandwich,1,226
OI00094,ORD03076,Sandwich,1,255
OI00095,ORD35725,Pizza,4,149
OI00096,ORD64112,Biryani,5,342
OI00097,ORD31594,Burger,2,116
OI00098,ORD68722,Fries,2,356
OI00099,ORD52305,Fries,1,252
OI00100,ORD50034,Pizza,1,397
OI00101,ORD80300,Tacos,2,56
OI00102,ORD57859,Pasta,3,263
OI00103,ORD06374,Pizza,2,444
OI00104,ORD54732,Burger,4,63
OI00105,ORD00194,Noodles,1,368
OI00106,ORD11740,Soup,5,135
OI00107,ORD76510,Pasta,5,445
OI00108,ORD17126,Noodles,4,58
OI00109,ORD04628,Burger,4,127
OI00110,ORD13061,Wrap,4,487
OI00111,ORD24838,Noodles,1,382
OI00112,ORD33706,Tacos,5,401
OI00113,ORD33578,Salad,5,306
OI00114,ORD20849,Ice Cream,1,215
OI00115,ORD39294,Burger,5,183
OI00116,ORD36747,Soup,1,394
OI00117,ORD36166,Soup,3,212
OI00118,ORD75771,Wrap,1,318
OI00119,ORD42146,Fries,4,295
OI00120,ORD66087,Steak,1,354
OI00121,ORD47532,Sushi,4,82
OI00122,ORD86535,Burger,3,276
OI00123,ORD88605,Pasta,3,396
OI00124,ORD55211,Steak,5,192
OI00125,ORD15141,Ice Cream,2,453
OI00126,ORD64017,Sushi,5,317
OI00127,ORD02283,Cake,1,102
OI00128,ORD22805,Cake,1,193
OI00129,ORD37338,Soup,1,204
OI00130,ORD38336,Soup,1,222
OI00131,ORD43318,Wrap,2,445
OI00132,ORD46359,Burger,3,305
OI00133,ORD70334,Ice Cream,2,375
OI00134,ORD49702,Sushi,4,343
OI00135,ORD88671,Pasta,1,286
OI00136,ORD47944,Pasta,3,448
OI00137,ORD59458,Burger,3,102
OI00138,ORD25749,Pizza,4,372
OI00139,ORD86836,Sandwich,5,466
OI00140,ORD12826,Salad,3,462
OI00141,ORD73913,Salad,1,203
OI00142,ORD20915,Steak,3,113
OI00143,ORD19770,Biryani,5,142
OI00144,ORD24719,Tacos,1,143
OI00145,ORD27793,Wrap,4,90
OI00146,ORD08772,Salad,1,284
OI00147,ORD33246,Pasta,1,294
OI00148,ORD70072,Noodles,1,206
OI00149,ORD61590,Steak,2,146
OI00150,ORD40925,Wrap,1,462
OI00151,ORD58265,Soup,3,398
OI00152,ORD70083,Salad,2,385
OI00153,ORD86260,Wrap,2,380
OI00154,ORD55380,Biryani,5,394
OI00155,ORD02350,Noodles,2,473
OI00156,ORD52253,Pizza,4,92
OI00157,ORD06153,Ice Cream,2,63
OI00158,ORD17700,Pasta,4,450
OI00159,ORD13979,Biryani,5,376
OI00160,ORD81329,Noodles,4,146
OI00161,ORD10588,Sushi,5,174
OI00162,ORD43057,Steak,3,459
OI00163,ORD22359,Burger,4,190
OI00164,ORD28062,Fries,1,490
OI00165,ORD39913,Cake,5,279
OI00166,ORD15205,Noodles,5,232
OI00167,ORD33649,Soup,1,256
OI00168,ORD64410,Fries,5,325
OI00169,ORD54294,Tacos,2,185
OI00170,ORD70126,Tacos,1,366
OI00171,ORD36501,Wrap,2,429
OI00172,ORD75776,Pasta,1,327
OI00173,ORD51159,Soup,3,55
