Restaurant_id,Name,Cuisine_type,City,Rating,Open_date
REST44268,Seafood Shack,Mediterranean,Mumbai,3,6/8/2024
REST45451,Noodle Point,Indian,Pune,1.4,2/4/2022
REST15889,Noodle Point,Indian,Kolkata,4.1,9/8/2016
REST33758,Burger Barn,Indian,Ahmedabad,1.5,10/13/2021
REST00351,Sweet Treats,Chinese,Pune,4.9,10/18/2019
REST38011,Spice Hub,Continental,Kolkata,1.3,1/11/2016
REST10030,Spice Hub,Mexican,Bangalore,3.1,5/13/2020
REST35022,Burger Barn,Japanese,Delhi,4.8,3/17/2018
REST06671,Salad Shack,Indian,Ahmedabad,2.4,10/24/2018
REST01706,Spice Hub,Mediterranean,Mumbai,2,12/25/2023
REST49827,Sushi Station,Mediterranean,Bangalore,2.3,4/15/2023
REST24269,Salad Shack,Continental,Delhi,3.2,8/3/2021
REST01280,Food Fiesta,Japanese,Mumbai,5,9/10/2018
REST15343,Seafood Shack,Japanese,Delhi,4.9,1/7/2016
REST21601,Salad Shack,Indian,Pune,4.1,2/5/2021
REST19847,Salad Shack,Italian,Delhi,4.2,1/9/2022
REST23668,Sandwich Stop,Chinese,Ahmedabad,1.6,4/1/2023
REST16894,Sweet Treats,Mexican,Pune,1,9/19/2016
REST27921,Biryani House,Italian,Hyderabad,1.4,1/15/2023
REST37788,Food Fiesta,Mexican,Bangalore,1.2,4/21/2018
REST37329,Pizza Palace,Japanese,Hyderabad,4.9,9/10/2022
REST12437,Burger Barn,Chinese,Ahmedabad,2.6,7/12/2022
REST29482,Spice Hub,Japanese,Ahmedabad,2.1,8/26/2022
REST05557,Sushi Station,Mexican,Bangalore,3.8,9/16/2020
REST02045,Grill House,Italian,Delhi,1.3,8/25/2021
REST16526,Food Fiesta,Japanese,Ahmedabad,3.1,5/4/2020
REST16505,Sushi Station,Japanese,Mumbai,4.2,10/16/2019
REST49502,Pasta Point,Indian,Delhi,3.3,3/2/2024
REST21008,Sweet Treats,Continental,Bangalore,3.4,1/3/2022
REST02609,Grill House,Italian,Pune,3,6/28/2021
REST22641,Cafe Delight,Indian,Delhi,4.2,1/13/2021
REST29064,Cafe Delight,Italian,Chennai,4.8,2/24/2023
REST13939,Seafood Shack,Chinese,Chennai,4.9,3/15/2018
REST27257,Spice Hub,Indian,Kolkata,5,5/4/2024
REST30108,Tasty Corner,Chinese,Hyderabad,4.3,4/7/2020
REST30614,Sweet Treats,Mexican,Hyderabad,1.3,4/21/2016
REST45466,Sweet Treats,Chinese,Pune,3,1/26/2018
REST41973,Sushi Station,Japanese,Hyderabad,4.6,3/19/2024
REST06436,Pasta Point,Indian,Hyderabad,2.3,7/19/2016
REST34158,Pizza Palace,Continental,Delhi,1.4,1/18/2022
REST39412,Food Fiesta,Continental,Mumbai,2.5,9/25/2024
REST15523,Burger Barn,Mexican,Pune,2.9,2/13/2022
REST42519,Sushi Station,Italian,Bangalore,2.2,10/23/2017
REST13537,Sandwich Stop,Continental,Ahmedabad,3.3,7/23/2021
REST46736,Sandwich Stop,Italian,Delhi,2,2/19/2023
REST16786,Sushi Station,Continental,Mumbai,4.1,10/4/2016
REST17167,Biryani House,Italian,Chennai,4.2,10/7/2023
REST20000,Sweet Treats,Indian,Bangalore,2.6,8/25/2018
REST21671,Seafood Shack,Mediterranean,Delhi,3.7,5/23/2018
REST12009,Cafe Delight,Italian,Chennai,3.5,12/24/2017
REST18123,Pizza Palace,Mediterranean,Chennai,3,1/8/2022
REST46328,Grill House,Japanese,Mumbai,4.6,4/22/2021
REST28655,Sweet Treats,Indian,Mumbai,4.2,4/6/2017
REST30487,Cafe Delight,Mediterranean,Pune,1.8,7/28/2020
REST20796,Noodle Point,Chinese,Chennai,3.5,9/1/2023
REST34079,Tasty Corner,Italian,Pune,4.6,4/11/2016
REST42195,Cafe Delight,Indian,Kolkata,1.6,8/3/2017
REST25412,Food Fiesta,Continental,Chennai,4.4,1/7/2022
REST46591,Biryani House,Indian,Pune,2.4,4/16/2019
REST27153,Seafood Shack,Continental,Bangalore,4.7,8/9/2016
REST48659,Sushi Station,Chinese,Ahmedabad,1.8,3/20/2018
REST04934,Spice Hub,Mexican,Pune,1.7,1/18/2021
REST41814,Pizza Palace,Japanese,Pune,2.7,4/18/2021
REST47911,Biryani House,Japanese,Delhi,3.6,7/17/2022
REST01601,Burger Barn,Mediterranean,Bangalore,2,11/17/2021
REST20251,Cafe Delight,Continental,Bangalore,3.3,5/3/2020
REST09145,Spice Hub,Continental,Chennai,3.2,4/22/2018
REST11835,Grill House,Italian,Pune,2.6,10/26/2017
REST10229,Biryani House,Mediterranean,Kolkata,3.8,2/21/2022
REST08738,Sandwich Stop,Italian,Mumbai,3,5/4/2019
REST19909,Seafood Shack,Italian,Kolkata,3.9,5/1/2018
REST36483,Cafe Delight,Japanese,Hyderabad,3.8,12/10/2021
REST18209,Noodle Point,Mexican,Mumbai,4.3,8/4/2016
REST38587,Noodle Point,Indian,Hyderabad,2.5,9/2/2018
REST21459,Seafood Shack,Mexican,Kolkata,3.1,12/13/2017
REST42804,Spice Hub,Italian,Hyderabad,1.8,12/12/2024
REST37820,Sweet Treats,Mexican,Bangalore,4.9,11/14/2022
REST42676,Tasty Corner,Continental,Kolkata,1.1,7/11/2023
REST10161,Spice Hub,Chinese,Ahmedabad,2.6,1/13/2023
REST30239,Sweet Treats,Mexican,Delhi,1.2,1/24/2021
REST01745,Sushi Station,Mexican,Pune,1.8,6/27/2020
REST01304,Biryani House,Japanese,Mumbai,1.4,6/21/2020
REST49795,Pasta Point,Mediterranean,Hyderabad,3.1,12/5/2016
REST09801,Pasta Point,Japanese,Kolkata,1.1,2/17/2022
REST03008,Sandwich Stop,Japanese,Chennai,3.9,8/11/2016
REST21057,Grill House,Mediterranean,Mumbai,4.4,4/7/2023
REST06258,Salad Shack,Indian,Pune,4.8,9/2/2018
REST11351,Tasty Corner,Mexican,Delhi,3.2,2/6/2023
REST48552,Salad Shack,Indian,Hyderabad,2,1/1/2016
REST15614,Seafood Shack,Chinese,Kolkata,5,10/22/2020
REST48423,Spice Hub,Indian,Pune,1.6,7/12/2023
REST39209,Biryani House,Mexican,Ahmedabad,4.9,6/14/2020
REST31400,Seafood Shack,Mexican,Pune,1.4,9/25/2016
REST02924,Spice Hub,Mexican,Ahmedabad,3,7/9/2021
REST29080,Burger Barn,Mediterranean,Ahmedabad,1.5,3/18/2016
REST13858,Pasta Point,Chinese,Pune,2.3,8/27/2019
REST38724,Biryani House,Japanese,Mumbai,2.4,7/14/2022
REST08774,Sandwich Stop,Japanese,Hyderabad,3.1,11/6/2018
REST22218,Burger Barn,Mediterranean,Delhi,3.5,6/17/2019
REST43642,Salad Shack,Italian,Delhi,4.3,12/4/2021
REST13659,Noodle Point,Mediterranean,Delhi,2.4,2/28/2023
REST16241,Cafe Delight,Mediterranean,Chennai,3.7,9/23/2019
REST05524,Cafe Delight,Italian,Chennai,4.3,9/17/2016
REST38315,Sushi Station,Italian,Kolkata,1.8,6/24/2024
REST29119,Burger Barn,Mexican,Mumbai,4.1,5/8/2020
REST35394,Noodle Point,Mediterranean,Kolkata,4.7,3/11/2018
REST24035,Sweet Treats,Chinese,Pune,4.4,11/3/2017
REST18829,Tasty Corner,Mexican,Hyderabad,4.9,6/13/2018
REST08354,Grill House,Indian,Kolkata,1.9,5/9/2016
REST28651,Burger Barn,Japanese,Hyderabad,1.6,8/15/2023
REST49831,Biryani House,Indian,Pune,1.2,1/15/2021
REST38725,Pizza Palace,Continental,Ahmedabad,5,2/11/2021
REST33552,Food Fiesta,Chinese,Ahmedabad,3.5,6/27/2021
REST03587,Food Fiesta,Japanese,Bangalore,2.5,8/9/2023
REST06151,Salad Shack,Italian,Pune,2.9,12/20/2022
REST01087,Sandwich Stop,Mexican,Ahmedabad,3.5,1/23/2019
REST04840,Pizza Palace,Mediterranean,Mumbai,2.8,11/15/2017
REST05287,Tasty Corner,Mediterranean,Delhi,3.1,12/27/2016
REST25304,Food Fiesta,Japanese,Delhi,3.3,3/17/2023
REST15074,Grill House,Indian,Ahmedabad,3.4,11/1/2022
REST09885,Noodle Point,Japanese,Hyderabad,3.5,2/19/2019
REST24897,Grill House,Mediterranean,Mumbai,2.8,7/28/2021
REST18561,Sweet Treats,Mediterranean,Chennai,4.3,10/6/2022
REST33559,Grill House,Japanese,Chennai,5,6/26/2017
REST23475,Seafood Shack,Continental,Mumbai,3.7,12/2/2024
REST30093,Sweet Treats,Italian,Hyderabad,2.2,3/7/2024
REST18391,Noodle Point,Mexican,Pune,3.4,5/1/2021
REST39736,Pizza Palace,Chinese,Chennai,1.6,6/11/2018
REST39277,Cafe Delight,Italian,Kolkata,1,1/17/2019
REST39608,Tasty Corner,Continental,Kolkata,1.9,1/17/2020
REST38890,Biryani House,Continental,Ahmedabad,2.4,2/9/2021
REST35504,Tasty Corner,Mexican,Bangalore,4.7,6/12/2016
REST48677,Biryani House,Chinese,Pune,2.6,4/26/2022
REST43506,Tasty Corner,Mexican,Delhi,4.9,9/13/2021
REST09647,Sandwich Stop,Mediterranean,Kolkata,2,3/25/2017
REST01307,Burger Barn,Japanese,Mumbai,3.6,11/16/2022
REST00084,Sushi Station,Japanese,Mumbai,2.2,5/21/2017
REST17989,Cafe Delight,Mediterranean,Bangalore,3.2,8/24/2017
REST21149,Burger Barn,Mexican,Chennai,3.6,7/1/2020
REST09287,Salad Shack,Indian,Delhi,3,7/2/2024
REST29646,Salad Shack,Italian,Kolkata,4.9,11/21/2024
REST05820,Sweet Treats,Mediterranean,Chennai,2.3,7/4/2021
REST29518,Noodle Point,Mediterranean,Chennai,1.1,5/11/2016
REST29929,Cafe Delight,Chinese,Hyderabad,3.7,2/5/2024
REST30001,Sweet Treats,Mexican,Chennai,4,6/6/2016
REST01525,Cafe Delight,Indian,Kolkata,1.9,4/8/2022
REST14618,Noodle Point,Chinese,Bangalore,4,8/8/2024
REST49539,Pasta Point,Chinese,Chennai,1.1,11/19/2020
REST42363,Tasty Corner,Mexican,Bangalore,1.2,11/10/2022
REST40012,Pizza Palace,Mexican,Kolkata,1.5,10/28/2022
REST07899,Food Fiesta,Japanese,Delhi,2.4,2/12/2024
REST37656,Burger Barn,Chinese,Ahmedabad,3.7,11/2/2017
REST49197,Sushi Station,Continental,Ahmedabad,3.1,8/6/2019
REST47336,Biryani House,Mediterranean,Hyderabad,3.1,3/21/2022
REST45730,Grill House,Chinese,Ahmedabad,2.5,2/5/2021
REST35381,Spice Hub,Mediterranean,Chennai,1.6,7/27/2020
REST46454,Cafe Delight,Italian,Mumbai,4.9,10/6/2018
REST21075,Sweet Treats,Italian,Chennai,4.4,10/7/2023
REST29301,Noodle Point,Chinese,Kolkata,4.1,5/9/2022
REST15761,Seafood Shack,Chinese,Kolkata,4.2,2/16/2021
REST00700,Sweet Treats,Chinese,Pune,1.2,5/7/2021
REST20157,Tasty Corner,Continental,Kolkata,1.3,8/13/2020
REST42320,Pasta Point,Italian,Hyderabad,1.6,7/22/2021
REST35657,Burger Barn,Japanese,Delhi,4.7,2/9/2017
REST43404,Burger Barn,Continental,Kolkata,2.9,6/25/2017
REST13295,Spice Hub,Continental,Ahmedabad,2.3,2/15/2019
REST34737,Sushi Station,Mediterranean,Bangalore,3.6,7/16/2018
REST48020,Cafe Delight,Continental,Pune,1.7,10/27/2023
REST13157,Burger Barn,Japanese,Mumbai,3,2/22/2020
REST47633,Sandwich Stop,Mediterranean,Pune,4,8/8/2021
REST22237,Pizza Palace,Mediterranean,Kolkata,3.6,5/19/2016
REST20196,Sweet Treats,Italian,Bangalore,3.3,1/3/2024
REST06818,Cafe Delight,Japanese,Mumbai,3.3,12/3/2021
REST21829,Grill House,Indian,Kolkata,2.7,8/2/2024
REST10067,Noodle Point,Mexican,Chennai,4.6,12/8/2016
REST49718,Grill House,Mediterranean,Kolkata,1.2,1/4/2021
REST26714,Tasty Corner,Continental,Kolkata,5,2/4/2017
REST33332,Spice Hub,Italian,Mumbai,1,12/6/2017
REST29820,Sweet Treats,Mexican,Pune,3.7,8/10/2022
REST24629,Tasty Corner,Chinese,Pune,2.8,2/20/2020
REST37930,Spice Hub,Mexican,Ahmedabad,5,8/9/2021
REST04231,Pizza Palace,Continental,Hyderabad,2.2,2/19/2022
REST42129,Pasta Point,Chinese,Hyderabad,3.3,9/18/2024
REST38743,Spice Hub,Japanese,Mumbai,5,8/14/2019
REST46347,Grill House,Mexican,Pune,2.9,4/19/2020
REST09665,Spice Hub,Continental,Delhi,2.5,9/6/2017
REST12886,Sushi Station,Italian,Ahmedabad,2.4,4/18/2016
REST00103,Salad Shack,Japanese,Bangalore,3,4/11/2021
REST16243,Sandwich Stop,Continental,Bangalore,1.6,11/20/2017
REST16642,Noodle Point,Japanese,Delhi,3.2,11/2/2018
REST24388,Sushi Station,Continental,Delhi,3.3,6/15/2018
REST20859,Grill House,Italian,Ahmedabad,2,7/26/2020
REST03288,Sandwich Stop,Continental,Chennai,1.1,10/23/2023
REST47808,Grill House,Italian,Kolkata,1.7,7/25/2019
REST32890,Sweet Treats,Japanese,Delhi,4.6,3/7/2016
REST33158,Sushi Station,Mediterranean,Delhi,4.5,9/6/2022
REST17402,Grill House,Chinese,Chennai,4.4,11/2/2024
REST25023,Seafood Shack,Indian,Chennai,1.2,5/1/2020
REST14939,Grill House,Indian,Pune,3,1/28/2022
REST41526,Food Fiesta,Italian,Kolkata,1.6,11/22/2019
REST29908,Cafe Delight,Chinese,Pune,4.3,4/6/2021
REST44919,Pasta Point,Chinese,Chennai,5,12/17/2019
REST31541,Seafood Shack,Continental,Ahmedabad,2.8,8/12/2021
REST29501,Spice Hub,Mexican,Bangalore,4.7,2/9/2020
REST04104,Sushi Station,Mexican,Pune,1.5,7/20/2020
REST07282,Seafood Shack,Chinese,Delhi,2.5,6/18/2017
REST37718,Sandwich Stop,Japanese,Pune,1.9,6/20/2024
REST22782,Burger Barn,Japanese,Bangalore,3.7,4/17/2017
REST49682,Pasta Point,Continental,Bangalore,1.8,7/20/2022
REST08477,Sushi Station,Continental,Mumbai,3.5,2/4/2017
REST16080,Pasta Point,Italian,Chennai,2.6,9/26/2023
REST09417,Grill House,Mediterranean,Delhi,2.2,4/23/2024
REST31436,Sushi Station,Italian,Mumbai,4.8,8/3/2016
REST01037,Sandwich Stop,Indian,Kolkata,2.4,12/28/2023
REST35976,Burger Barn,Japanese,Mumbai,4.1,4/12/2024
REST34352,Cafe Delight,Chinese,Pune,4.2,4/6/2023
REST19410,Sweet Treats,Indian,Chennai,5,8/4/2020
REST44032,Sweet Treats,Mexican,Kolkata,4.8,5/4/2020
REST23807,Grill House,Indian,Hyderabad,1.6,10/12/2021
REST28900,Pasta Point,Indian,Hyderabad,1.1,9/2/2022
REST48932,Tasty Corner,Continental,Delhi,2,12/17/2020
REST39610,Biryani House,Mexican,Mumbai,1.9,6/22/2019
REST02973,Noodle Point,Mexican,Mumbai,4,12/19/2024
REST32587,Food Fiesta,Continental,Bangalore,2.7,1/27/2021
REST00474,Sandwich Stop,Mexican,Delhi,2.7,12/24/2019
REST47979,Sandwich Stop,Italian,Mumbai,3.1,7/5/2023
REST40947,Grill House,Indian,Delhi,3.5,12/1/2016
REST37119,Cafe Delight,Mediterranean,Chennai,4.2,6/27/2019
REST13275,Sushi Station,Mexican,Mumbai,4.3,5/9/2018
REST21736,Sweet Treats,Japanese,Chennai,1,6/11/2017
REST21808,Seafood Shack,Continental,Ahmedabad,3.1,1/5/2020
REST29537,Noodle Point,Indian,Mumbai,4.7,3/13/2019
REST30061,Seafood Shack,Chinese,Hyderabad,1.2,7/11/2019
REST27873,Spice Hub,Continental,Hyderabad,1.6,8/12/2023
REST40771,Sushi Station,Italian,Chennai,1.1,10/16/2024
REST30588,Seafood Shack,Mexican,Delhi,1.3,3/14/2017
REST33748,Food Fiesta,Continental,Kolkata,2.9,12/21/2020
REST01653,Food Fiesta,Continental,Bangalore,1.9,11/8/2019
REST13207,Pasta Point,Japanese,Pune,2.3,11/27/2019
REST42090,Sushi Station,Continental,Ahmedabad,2.8,1/23/2018
REST08231,Sandwich Stop,Japanese,Chennai,1.8,1/22/2019
REST03203,Sandwich Stop,Mediterranean,Delhi,3.5,12/4/2021
REST16233,Burger Barn,Continental,Mumbai,4.7,3/20/2017
REST12847,Cafe Delight,Mexican,Delhi,2.2,9/28/2023
REST19446,Cafe Delight,Continental,Bangalore,4,7/23/2016
REST46604,Cafe Delight,Italian,Kolkata,2.5,3/6/2022
REST17783,Sandwich Stop,Italian,Kolkata,1.1,5/9/2019
REST31810,Noodle Point,Indian,Mumbai,4.4,4/25/2024
REST32885,Cafe Delight,Chinese,Kolkata,4.6,7/11/2017
REST28262,Seafood Shack,Mediterranean,Mumbai,2.2,1/3/2021
REST18178,Seafood Shack,Mexican,Bangalore,3.2,3/2/2024
REST39482,Biryani House,Indian,Kolkata,1.8,7/21/2021
REST33147,Noodle Point,Mexican,Pune,2,10/4/2016
REST48158,Pasta Point,Continental,Pune,1.1,3/5/2018
REST43113,Pasta Point,Chinese,Hyderabad,2.7,4/2/2020
REST32740,Spice Hub,Mexican,Bangalore,4.3,9/5/2016
REST02757,Sandwich Stop,Japanese,Bangalore,4.8,3/10/2019
REST10521,Spice Hub,Continental,Chennai,1.4,8/25/2024
REST04020,Sandwich Stop,Mexican,Kolkata,4.1,1/17/2016
REST07675,Pasta Point,Italian,Ahmedabad,2.6,12/7/2024
REST02921,Burger Barn,Mexican,Ahmedabad,4.4,10/8/2020
REST22813,Biryani House,Chinese,Ahmedabad,2.1,9/21/2016
REST48128,Sweet Treats,Chinese,Hyderabad,2.6,6/20/2022
REST36879,Pasta Point,Mediterranean,Ahmedabad,4.9,12/13/2023
REST08201,Sushi Station,Mexican,Ahmedabad,3.4,4/21/2024
REST28499,Food Fiesta,Japanese,Delhi,1.6,12/15/2024
REST18024,Noodle Point,Mexican,Delhi,3.7,12/2/2023
REST12817,Pizza Palace,Mediterranean,Bangalore,2.4,12/24/2022
REST14378,Sushi Station,Mediterranean,Ahmedabad,3.5,4/28/2016
REST07734,Sushi Station,Italian,Chennai,4.4,8/20/2019
REST05855,Biryani House,Italian,Kolkata,2.8,12/20/2019
REST23868,Food Fiesta,Japanese,Mumbai,3.7,9/11/2018
REST26394,Pizza Palace,Mediterranean,Hyderabad,4.1,6/8/2024
REST21658,Spice Hub,Chinese,Delhi,3.7,1/3/2022
REST41532,Cafe Delight,Italian,Pune,1.2,6/3/2016
REST14635,Cafe Delight,Indian,Kolkata,3.9,12/7/2024
REST27936,Food Fiesta,Indian,Pune,1,12/7/2023
REST48129,Noodle Point,Continental,Pune,4.8,7/16/2017
REST35915,Seafood Shack,Continental,Kolkata,1.1,11/10/2020
REST07916,Food Fiesta,Chinese,Ahmedabad,2.9,5/11/2023
REST33929,Spice Hub,Japanese,Bangalore,4.5,11/18/2022
REST05453,Sandwich Stop,Indian,Pune,2.7,12/23/2018
REST47644,Seafood Shack,Mediterranean,Mumbai,1.7,1/21/2023
REST45890,Burger Barn,Mediterranean,Ahmedabad,1.9,7/14/2022
REST13778,Sandwich Stop,Continental,Bangalore,2.9,12/23/2016
REST44083,Spice Hub,Japanese,Mumbai,3.3,2/2/2018
REST11568,Sweet Treats,Japanese,Bangalore,3.8,10/28/2018
